name,resolution,fps,yt_id
0MtilFKz4cA,1280x720,30.0,0MtilFKz4cA
4kG0jbeQ70g,1280x720,25.0,4kG0jbeQ70g
8WGrvkd6ZEU,1920x1080,30.0,8WGrvkd6ZEU
E-1hTCGUCts,1920x1080,29.97,E-1hTCGUCts
EizeIkrDtQk,1920x1080,25.0,EizeIkrDtQk
GCyW1jPfWdg,1920x1080,30.0,GCyW1jPfWdg
I749IS2IeFY,1280x720,25.0,I749IS2IeFY
ItBRb9LB-VI,1920x1080,25.0,ItBRb9LB-VI
rrrgsW--AE8,1280x720,29.5,rrrgsW--AE8
IWFgo-tEEs8,1280x720,29.87,IWFgo-tEEs8
LHZAh32EoC8,1920x1080,25.0,LHZAh32EoC8
MoBr1cguTY4,1920x1080,25.0,MoBr1cguTY4
MyrqGZXxpsY,1280x720,30.0,MyrqGZXxpsY
POZkrxioEus,854x480,25.0,POZkrxioEus
QCDks6aiWfs,640x360,25.0,QCDks6aiWfs
qBlozVQ7NOc,1280x702,28.51,qBlozVQ7NOc
R5hsatlgi70,1920x1080,25.0,R5hsatlgi70
UyGu-WTodV0,1280x720,25.0,UyGu-WTodV0
Wu1gxxpbF2o,1920x1080,25.0,Wu1gxxpbF2o
bCDJ9CUBvqs,854x480,25.0,bCDJ9CUBvqs
e3EsDlpNo0c,1280x720,30.0,e3EsDlpNo0c
eallFwiLHwM,1920x1080,25.0,eallFwiLHwM
esQQbBhuXbM,1280x720,25.0,esQQbBhuXbM
hMeTZBe6UBk,1920x1080,29.97,hMeTZBe6UBk
hmHwFuvodg0,1280x720,25.0,hmHwFuvodg0
knIaoNcydck,1280x720,29.97,knIaoNcydck
p42w02g4Ce4,1280x720,25.0,p42w02g4Ce4
qzi2cKZCf94,1280x720,30.0,qzi2cKZCf94
sEgELazFtxQ,1280x720,25.0,sEgELazFtxQ
t7Xgg9bejOM,1280x720,30.0,t7Xgg9bejOM
upaJ16I0zmQ,1280x720,25.0,upaJ16I0zmQ
wYbfwx93VXk,1280x720,25.0,wYbfwx93VXk
wmOIRMcB93U,1920x1080,25.0,wmOIRMcB93U
xHBUIt-airA,1280x720,25.0,xHBUIt-airA
zLXhBdIX7lE,1280x720,29.97,zLXhBdIX7lE
zNL3kn3UBmg,1280x720,29.97,zNL3kn3UBmg
AZ4wWG6Rcak,1920x1080,25.0,AZ4wWG6Rcak
PaVNLvldLeI,1280x720,25.0,PaVNLvldLeI
R9XUGR-VlTg,1280x720,25.0,R9XUGR-VlTg
XL8N3BEWdho,1920x1080,29.97,XL8N3BEWdho
aQy3nHo3V0E,1920x1080,29.97,aQy3nHo3V0E
hp2PJMAJqyA,1280x720,25.0,hp2PJMAJqyA
iSQqsVFkQAA,1280x720,25.0,iSQqsVFkQAA
qfBalcxF8JY,1280x720,25.0,qfBalcxF8JY
x1owr0LEc3M,1920x1080,29.97,x1owr0LEc3M
SmM5COoXqDA,854x480,25.0,SmM5COoXqDA
Z2T9B4qExzk,1920x1080,30.0,Z2T9B4qExzk
jR0OFsCYcD4,1920x1080,25.0,jR0OFsCYcD4
mQ59PLtU4QA,1920x1080,25.0,mQ59PLtU4QA
q3kjkmjtTBk,1920x1080,25.0,q3kjkmjtTBk
yXGu3dfnhck,854x480,25.0,yXGu3dfnhck
